solidus T C,solidus P GPA
1090.523958,0.010280216
1098.242547,0.069677661
1112.684947,0.186164488
1127.127346,0.300714337
1141.569746,0.415264187
1156.012146,0.531751013
1170.454545,0.644363885
1184.896945,0.760850712
1198.135812,0.859494998
1211.374678,0.974409893
1225.817078,1.09089672
1240.259477,1.211257501
1254.701877,1.335492236
1269.144277,1.455853017
1283.586676,1.580087752
1298.029076,1.710133418
1312.471476,1.832431176
1323.303276,1.929481182
1365.426941,2.312816412
1379.869341,2.461909021
1394.311741,2.589372051
1408.754141,2.725228649
1423.19654,2.864959201
1436.435407,2.995369914
1448.47074,3.121109531
1471.337873,3.342349572
1484.576739,3.47740903
1497.815605,3.621765978
1511.054472,3.754501063
1524.293338,3.901182383
1537.532205,4.047863704
1549.567538,4.175927693
1561.602871,4.310964801
1573.638204,4.448326282
1585.673537,4.588012134
1597.70887,4.727697987
1648.257269,5.349244159
1660.292602,5.50520062
1671.124402,5.64428303
1680.752668,5.775207786
1691.584468,5.921844407
